Player,Drives
Joel Embiid,2.4
John Collins,2.4
John Henson,0.2
John Konchar,0.8
Johnathan Motley,0.2
Johnathan Williams,0.0
Jonah Bolden,0.1
Jonas Valanciunas,1.1
Jonathan Isaac,2.9
Jordan Bell,0.6
Jordan Bone,0.5
Jordan Clarkson,8.9
Jordan McLaughlin,7.8
Jordan McRae,5.5
Jordan Poole,4.6
Josh Gray,5.0
Josh Hart,2.7
Josh Jackson,3.5
Josh Magette,1.9
Josh Okogie,4.6
Josh Reaves,0.5
Josh Richardson,8.0
Jrue Holiday,14.9
Juan Toscano-Anderson,3.2
Juancho Hernangomez,1.0
Julius Randle,8.5
Justin Anderson,1.1
Justin Holiday,1.4
Justin Jackson,2.0
Justin James,0.7
Justin Patton,0.2
Justin Robinson,0.7
Justin Wright-Foreman,3.3
Justise Winslow,8.5
Jusuf Nurkic,1.0
Juwan Morgan,0.1
KZ Okpala,0.2
Kadeem Allen,4.9
Karl-Anthony Towns,4.1
Kawhi Leonard,13.4
Keita Bates-Diop,1.7
Kelan Martin,2.3
Keldon Johnson,3.9
Kelly Olynyk,1.7
Kelly Oubre Jr.,6.1
Kemba Walker,10.9
Kendrick Nunn,7.4
Kenrich Williams,1.4
Kent Bazemore,4.0
Kentavious Caldwell-Pope,2.4
Kevin Hervey,0.3
Kevin Huerter,5.7
Kevin Knox II,2.5
Kevin Love,1.3
Kevin Porter Jr.,5.1
Kevon Looney,1.0
Khem Birch,0.2
Khris Middleton,5.5
Khyri Thomas,0.8
Kostas Antetokounmpo,0.0
Kris Dunn,7.0
Kristaps Porzingis,3.7
Ky Bowman,5.3
Kyle Alexander,0.0
Kyle Anderson,2.8
Kyle Guy,0.7
Kyle Korver,0.3
Kyle Kuzma,4.3
Kyle Lowry,9.6
Kyle O'Quinn,0.3
Kyrie Irving,14.2
LaMarcus Aldridge,0.6
Lance Thomas,0.7
Landry Shamet,2.2
Langston Galloway,3.0
Larry Nance Jr.,1.2
Lauri Markkanen,4.1
LeBron James,14.1
Lonnie Walker IV,3.8
Lonzo Ball,5.8
Lou Williams,11.1
Louis King,0.8
Luc Mbah a Moute,0.3
Luguentz Dort,3.3
Luka Doncic,20.7
Luka Samanic,2.7
Luke Kennard,7.9
Luke Kornet,0.4
Malcolm Brogdon,14.2
Malcolm Miller,0.4
Malik Beasley,3.8
Malik Monk,6.6
Malik Newman,1.0
Marc Gasol,0.7
Marco Belinelli,0.8
Marcus Morris Sr.,3.6
Marcus Smart,6.2
Marial Shayok,0.5
Mario Hezonja,1.7
Markelle Fultz,12.0
Markieff Morris,1.8
Marko Guduric,2.1
Marques Bolden,0.0
Marquese Chriss,1.0
Marvin Bagley III,2.6
Marvin Williams,0.9
Mason Plumlee,1.0
Matisse Thybulle,1.7
Matt Mooney,0.8
Matt Thomas,0.9
Matthew Dellavedova,3.3
Maurice Harkless,1.9
Max Strus,0.0
Maxi Kleber,1.1
Melvin Frazier Jr.,0.4
Meyers Leonard,0.7
Mfiondu Kabengele,0.3
Michael Carter-Williams,5.5
Michael Frazier II,0.8
Michael Kidd-Gilchrist,1.5
Michael Porter Jr.,1.6
Mikal Bridges,2.9
Mike Conley,12.7
Mike Muscala,0.3
Mike Scott,0.5
Miles Bridges,5.5
Mitchell Robinson,0.1
Miye Oni,1.3
Mo Bamba,0.0
Monte Morris,5.6
Montrezl Harrell,2.9
Moritz Wagner,1.2
Moses Brown,0.0
Mychal Mulder,2.0
Myles Turner,1.2
Nassir Little,1.0
Naz Mitrou-Long,3.4
Naz Reid,1.9
Nemanja Bjelica,3.3
Nerlens Noel,0.3
Nickeil Alexander-Walker,4.7
Nicolas Batum,1.2
Nicolas Claxton,0.5
Nicolo Melli,1.0
Nigel Williams-Goss,0.5
Nikola Jokic,3.2
Nikola Vucevic,1.7
Noah Vonleh,0.6
Norman Powell,5.4
Norvel Pelle,0.0
OG Anunoby,3.5
Omari Spellman,1.2
Oshae Brissett,0.6
Otto Porter Jr.,4.6
P.J. Tucker,1.2
P.J. Washington,4.0
PJ Dozier,4.2
Pascal Siakam,10.0
Pat Connaughton,1.9
Patrick Beverley,4.5
Patrick McCaw,2.8
Patrick Patterson,0.4
Patty Mills,2.6
Paul George,8.3
Paul Millsap,2.7
Paul Watson,1.7
Quinn Cook,2.4
Quinndary Weatherspoon,1.2
RJ Barrett,9.8
Rajon Rondo,7.0
Raul Neto,3.8
Rayjon Tucker,1.7
Reggie Bullock,1.5
Reggie Jackson,8.5
Richaun Holmes,0.6
Ricky Rubio,12.4
Robert Covington,2.8
Robert Williams III,0.1
Robin Lopez,0.3
Rodions Kurucs,2.0
Rodney Hood,3.6
Rodney McGruder,1.5
Romeo Langford,1.3
Rondae Hollis-Jefferson,2.4
Royce O'Neale,2.7
Rudy Gay,3.4
Rudy Gobert,0.5
Rui Hachimura,3.7
Russell Westbrook,20.8
Ryan Anderson,0.0
Ryan Arcidiacono,3.3
Ryan Broekhoff,0.6
Sekou Doumbouya,2.1
Semi Ojeleye,0.8
Serge Ibaka,1.4
Seth Curry,4.2
Shabazz Napier,8.1
Shai Gilgeous-Alexander,16.4
Shake Milton,5.1
Shamorie Ponds,0.8
Shaquille Harrison,3.4
Sindarius Thornwell,4.0
Skal Labissiere,0.1
Solomon Hill,1.8
Spencer Dinwiddie,17.1
Stanley Johnson,1.2
Stanton Kidd,0.3
Stephen Curry,7.2
Sterling Brown,2.2
Steven Adams,0.7
Svi Mykhailiuk,4.4
T.J. Leaf,0.7
T.J. McConnell,9.2
T.J. Warren,5.5
Tacko Fall,0.0
Taj Gibson,0.3
Talen Horton-Tucker,3.7
Tariq Owens,0.0
Taurean Prince,5.3
Terance Mann,2.6
Terence Davis,3.0
Terrance Ferguson,1.3
Terrence Ross,2.0
Terry Rozier,10.2
Thabo Sefolosha,0.5
Thaddeus Young,3.7
Thanasis Antetokounmpo,1.8
Theo Pinson,3.6
Thomas Bryant,0.7
Thon Maker,0.4
Tim Frazier,5.1
Tim Hardaway Jr.,3.9
Timothe Luwawu-Cabarrot,2.6
Tobias Harris,8.4
Tomas Satoransky,10.2
Tony Bradley,0.0
Tony Snell,3.0
Torrey Craig,0.6
Trae Young,19.8
Tremont Waters,4.3
Treveon Graham,1.9
Trevor Ariza,3.0
Trey Burke,4.6
Trey Lyles,2.4
Tristan Thompson,2.2
Troy Brown Jr.,3.8
Troy Daniels,0.4
Ty Jerome,3.1
Tyler Cook,0.1
Tyler Herro,5.7
Tyler Johnson,2.9
Tyler Zeller,0.0
Tyrone Wallace,2.4
Tyson Chandler,0.0
Tyus Jones,4.9
Udonis Haslem,0.0
Vic Law,0.4
Victor Oladipo,8.8
Vince Carter,1.2
Vincent Poirier,0.2
Vlatko Cancar,0.2
Wayne Ellington,0.6
Wendell Carter Jr.,0.6
Wenyen Gabriel,0.6
Wes Iwundu,1.7
Wesley Matthews,1.7
Will Barton,7.8
William Howard,1.0
Willie Cauley-Stein,0.8
Willy Hernangomez,0.3
Wilson Chandler,2.7
Yogi Ferrell,2.5
Yuta Watanabe,0.7
Zach Collins,0.3
Zach LaVine,12.5
Zach Norvell Jr.,1.2
Zhaire Smith,0.6
Zion Williamson,5.0
Zylan Cheatham,0.3
