Player,Post_Ups
Aaron Gordon,3.2
Aaron Holiday,0.0
Abdel Nader,0.0
Adam Mokoka,0.0
Admiral Schofield,0.2
Al Horford,4.3
Al-Farouq Aminu,1.0
Alec Burks,0.4
Alen Smailagic,1.3
Alex Caruso,0.0
Alex Len,0.8
Alfonzo McKinnie,0.1
Alize Johnson,0.1
Allen Crabbe,0.0
Allonzo Trier,0.0
Amile Jefferson,0.2
Amir Coffey,0.0
Andre Drummond,4.7
Andre Iguodala,0.7
Andre Roberson,0.1
Andrew Wiggins,1.0
Anfernee Simons,0.0
Ante Zizic,1.2
Anthony Davis,8.8
Anthony Tolliver,0.1
Antonius Cleveland,0.0
Anzejs Pasecniks,0.4
Aron Baynes,1.2
Austin Rivers,0.0
Avery Bradley,0.0
BJ Johnson,0.0
Bam Adebayo,3.2
Ben McLemore,0.0
Ben Simmons,3.6
Bismack Biyombo,0.6
Blake Griffin,4.1
Boban Marjanovic,2.2
Bobby Portis,3.0
Bogdan Bogdanovic,0.3
Bojan Bogdanovic,1.0
Bol Bol,0.4
Brad Wanamaker,0.0
Bradley Beal,0.5
Brandon Clarke,0.5
Brandon Goodwin,0.0
Brandon Ingram,1.2
Brandon Knight,0.0
Brian Bowen II,0.2
Brook Lopez,2.8
Bruce Brown,0.1
Bruno Caboclo,0.2
Bruno Fernando,0.5
Bryn Forbes,0.0
Buddy Hield,0.0
CJ McCollum,0.0
CJ Miles,0.0
Caleb Martin,0.2
Caleb Swanigan,0.6
Cam Reddish,0.0
Cameron Johnson,0.0
Cameron Payne,0.0
Caris LeVert,0.6
Carmelo Anthony,5.6
Carsen Edwards,0.0
Cedi Osman,0.2
Chandler Hutchison,0.0
Chandler Parsons,0.0
Charlie Brown Jr.,0.0
Chasson Randle,0.0
Cheick Diallo,0.7
Chimezie Metu,0.4
Chris Boucher,0.3
Chris Chiozza,0.0
Chris Clemons,0.0
Chris Paul,0.5
Chris Silva,0.3
Christian Wood,1.1
Clint Capela,0.6
Coby White,0.0
Cody Martin,0.1
Cody Zeller,0.9
Collin Sexton,0.1
Corey Brewer,0.0
Cory Joseph,0.1
Courtney Lee,0.0
Cristiano Felicio,0.1
D'Angelo Russell,0.3
D.J. Augustin,0.0
D.J. Wilson,0.2
DaQuan Jeffries,0.0
Damian Jones,0.1
Damian Lillard,0.1
Damion Lee,0.1
Damyean Dotson,0.0
Daniel Gafford,0.3
Daniel Theis,0.2
Danilo Gallinari,3.2
Danny Green,0.0
Dante Exum,0.0
Danuel House Jr.,0.0
Dario Saric,1.5
Darius Bazley,0.0
Darius Garland,0.1
Daryl Macon,0.0
David Nwaba,0.1
Davis Bertans,0.1
De'Aaron Fox,0.1
De'Andre Hunter,0.3
De'Anthony Melton,0.1
DeAndre Jordan,0.3
DeAndre' Bembry,0.0
DeMar DeRozan,1.6
DeMarre Carroll,0.0
Dean Wade,0.0
Deandre Ayton,6.2
Dejounte Murray,0.1
Delon Wright,0.0
Dennis Schroder,0.0
Dennis Smith Jr.,0.1
Denzel Valentine,0.0
Deonte Burton,0.0
Derrick Favors,1.0
Derrick Jones Jr.,0.0
Derrick Rose,0.0
Derrick Walton Jr.,0.0
Derrick White,0.0
Devin Booker,1.8
Devon Hall,0.0
Devontae Cacok,1.0
Devonte' Graham,0.0
Dewan Hernandez,0.2
Dewayne Dedmon,0.6
Dillon Brooks,0.2
Dion Waiters,0.0
Domantas Sabonis,6.1
Donovan Mitchell,0.0
Donta Hall,0.4
Donte DiVincenzo,0.0
Dorian Finney-Smith,0.1
Doug McDermott,0.0
Dragan Bender,0.9
