Player,Post_Ups
Aaron Gordon,2.8
Aaron Holiday,0.0
Aaron Nesmith,0.0
Abdel Nader,0.0
Adam Mokoka,0.0
Al Horford,3.9
Al-Farouq Aminu,1.3
Alec Burks,0.0
Aleksej Pokusevski,0.0
Alen Smailagic,0.0
Alex Caruso,0.1
Alex Len,0.6
Alfonzo McKinnie,0.0
Alize Johnson,0.0
Amir Coffey,0.0
Andre Drummond,8.0
Andre Iguodala,0.2
Andre Roberson,0.0
Andrew Wiggins,1.5
Anfernee Simons,0.0
Anthony Davis,8.5
Anthony Edwards,0.2
Anthony Gill,0.0
Anthony Lamb,0.0
Anzejs Pasecniks,3.0
Aron Baynes,0.3
Ashton Hagans,0.0
Austin Rivers,0.0
Avery Bradley,0.1
Axel Toupane,0.0
Bam Adebayo,5.6
Ben McLemore,0.0
Ben Simmons,2.9
Bismack Biyombo,0.6
Blake Griffin,4.1
Boban Marjanovic,1.8
Bobby Portis,1.8
Bogdan Bogdanovic,0.2
Bojan Bogdanovic,1.2
Bol Bol,0.1
Brad Wanamaker,0.0
Bradley Beal,0.4
Brandon Clarke,0.3
Brandon Goodwin,0.0
Brandon Ingram,0.5
Brian Bowen II,0.0
Brodric Thomas,0.0
Brook Lopez,1.3
Bruce Brown,0.0
Bruno Caboclo,0.0
Bruno Fernando,0.3
Bryn Forbes,0.0
Buddy Hield,0.0
CJ Elleby,0.0
CJ McCollum,0.0
Caleb Martin,0.0
Cam Reddish,0.0
Cameron Johnson,0.1
Cameron Payne,0.0
Caris LeVert,0.2
Carmelo Anthony,4.0
Carsen Edwards,0.0
Cassius Stanley,0.0
Cassius Winston,0.0
Cedi Osman,0.1
Chandler Hutchison,0.0
Chasson Randle,0.0
Chimezie Metu,0.4
Chris Boucher,0.2
Chris Chiozza,0.0
Chris Paul,0.3
Chris Silva,0.1
Christian Wood,3.0
Chuma Okeke,0.5
Clint Capela,1.6
Coby White,0.1
Cody Martin,0.0
Cody Zeller,0.6
Cole Anthony,0.0
Collin Sexton,0.2
Cory Joseph,0.0
Cristiano Felicio,0.0
D'Angelo Russell,0.4
D.J. Augustin,0.0
D.J. Wilson,0.1
DaQuan Jeffries,0.0
Dakota Mathias,0.0
Damian Jones,0.3
Damian Lillard,0.3
Damion Lee,0.0
Damyean Dotson,0.0
