Player,Post_Ups
Aaron Brooks,0.0
Aaron Gordon,2.3
Aaron Harrison,0.0
Aaron Jackson,0.0
Abdel Nader,0.1
Adreian Payne,0.6
Al Horford,5.2
Al Jefferson,3.8
Al-Farouq Aminu,0.2
Alan Williams,2.2
Alec Burks,0.0
Alec Peters,0.2
Alex Abrines,0.0
Alex Caruso,0.0
Alex Len,1.8
Alex Poythress,0.0
Alfonzo McKinnie,0.0
Allen Crabbe,0.0
Amir Johnson,0.5
Andre Drummond,3.4
Andre Iguodala,1.0
Andre Ingram,0.5
Andre Roberson,0.0
Andrew Bogut,0.3
Andrew Harrison,0.0
Andrew White III,0.0
Andrew Wiggins,2.5
Ante Zizic,0.9
Anthony Brown,0.0
Anthony Davis,6.4
Anthony Tolliver,0.1
Antonio Blakeney,0.0
Antonius Cleveland,0.0
Aron Baynes,1.4
Arron Afflalo,1.1
Austin Rivers,0.0
Avery Bradley,0.0
Bam Adebayo,2.7
Ben McLemore,0.0
Ben Moore,0.0
Ben Simmons,3.2
Bismack Biyombo,0.5
Blake Griffin,6.4
Boban Marjanovic,3.2
Bobby Brown,0.0
Bobby Portis,2.6
Bogdan Bogdanovic,0.3
Bojan Bogdanovic,0.3
Bradley Beal,0.4
Brandan Wright,0.5
Brandon Ingram,0.9
Brandon Jennings,0.1
Brandon Paul,0.0
Briante Weber,0.1
Brice Johnson,0.3
Brook Lopez,5.5
Bruno Caboclo,0.7
Bryn Forbes,0.0
Buddy Hield,0.0
C.J. Williams,0.0
CJ McCollum,0.0
CJ Miles,0.0
Caleb Swanigan,1.0
Cameron Payne,0.0
Caris LeVert,0.0
Carmelo Anthony,3.6
Cedi Osman,0.0
Chandler Parsons,0.3
Channing Frye,0.7
Charles Cooke,0.0
Cheick Diallo,0.4
Chinanu Onuaku,2.0
Chris Boucher,0.0
Chris McCullough,0.1
Chris Paul,1.3
Clint Capela,0.7
Cody Zeller,0.2
Cole Aldrich,0.1
Corey Brewer,0.0
Cory Joseph,0.0
Courtney Lee,0.0
Cristiano Felicio,1.3
D'Angelo Russell,0.3
D.J. Augustin,0.0
D.J. Wilson,0.0
Dakari Johnson,0.5
Damian Jones,0.3
Damian Lillard,0.0
Damien Wilkins,0.2
Damion Lee,0.0
Damyean Dotson,0.0
Daniel Hamilton,0.0
Daniel Theis,0.5
Danilo Gallinari,2.3
Danny Green,0.0
Dante Cunningham,0.2
Dante Exum,0.0
Danuel House Jr.,0.1
Dario Saric,2.0
Darius Miller,0.0
Darrell Arthur,0.2
Darren Collison,0.0
Darrun Hilliard,0.0
David Nwaba,0.4
David Stockton,0.0
David West,3.4
Davis Bertans,0.1
Davon Reed,0.0
De'Aaron Fox,0.0
DeAndre Jordan,1.5
DeAndre Liggins,0.0
DeAndre' Bembry,0.1
DeMar DeRozan,1.2
DeMarcus Cousins,7.5
DeMarre Carroll,0.2
Dejounte Murray,0.0
Delon Wright,0.0
Demetrius Jackson,0.0
Dennis Schroder,0.0
Dennis Smith Jr.,0.3
Denzel Valentine,0.0
Derrick Favors,1.8
Derrick Jones Jr.,0.0
Derrick Rose,0.1
Derrick Walton Jr.,0.0
Derrick White,0.0
